Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200303LH	140	False	real	LL	110	4	15	    4.00	1	   -4.00	1	1	2635351.00	15	0	NULL
200303LH	141	False	real	HR	111	4	15	   -4.00	0	    4.00	1	1	  526.89	-3	5	NULL
200303LH	142	False	real	PR	112	4	15	   -4.00	0	    4.00	1	1	2645385.00	15	5	NULL
200303LH	144	False	real	LR	113	4	15	   -4.00	0	    4.00	1	1	2654457.00	15	0	NULL
200303LH	146	False	real	HL	114	4	15	    4.00	0	    8.00	0	0	  286.68	-3	5	NULL
200303LH	147	False	real	DL	115	4	15	    4.00	0	    8.00	0	0	2668363.00	15	7	NULL
200303LH	148	False	real	EL	116	4	-15	    4.00	1	   -4.00	1	1	  672.55	-3	7	NULL
200303LH	149	False	real	FL	117	4	-15	    4.00	1	   -4.00	1	1	  516.47	-3	5	NULL
200303LH	150	False	real	KR	118	4	-15	   -4.00	1	   -8.00	0	0	2684616.00	15	0	NULL
200303LH	151	False	real	JL	119	4	15	    4.00	1	   -4.00	1	1	2688933.00	-15	0	NULL
200303LH	152	False	real	ML	120	4	-15	    4.00	1	   -4.00	1	1	2693302.00	-3	0	NULL
200303LH	153	False	real	IR	121	4	-15	   -4.00	0	    4.00	1	1	2699067.00	-15	0	NULL
200303LH	156	False	real	QR	122	4	-15	   -4.00	0	    4.00	1	1	  482.97	-15	5	NULL
200303LH	157	False	real	CR	123	4	-15	   -4.00	0	    4.00	1	1	2715965.00	15	7	NULL
200303LH	159	False	real	RR	124	4	15	   -4.00	0	    4.00	1	1	 1427.32	-15	5	NULL
200303LH	160	False	real	AR	125	4	-15	   -4.00	0	    4.00	1	1	  471.71	-15	7	NULL
200303LH	161	False	real	QL	126	4	-15	    4.00	1	   -4.00	1	1	  925.52	-15	5	NULL
200303LH	162	False	real	GL	127	4	15	    4.00	1	   -4.00	1	1	  610.92	-3	7	NULL
200303LH	164	False	real	OL	128	4	-15	    4.00	1	   -4.00	1	1	2754489.00	15	5	NULL
200303LH	166	False	real	JR	129	4	15	   -4.00	0	    4.00	1	1	2764505.00	-15	0	NULL
200303LH	167	False	real	CL	130	4	-15	    4.00	1	   -4.00	1	1	2769477.00	15	7	NULL
200303LH	168	False	real	NR	131	4	15	   -4.00	0	    4.00	1	1	2775152.00	-3	0	NULL
200303LH	171	False	real	RL	132	4	15	    4.00	1	   -4.00	1	1	  884.47	-15	5	NULL
200303LH	172	False	real	ER	133	4	-15	   -4.00	1	   -8.00	0	0	  400.35	-3	7	NULL
200303LH	174	False	real	PL	134	4	15	    4.00	1	   -4.00	1	1	2812868.00	15	5	NULL
200303LH	175	False	real	DR	135	4	15	   -4.00	1	   -8.00	0	0	2817445.00	15	7	NULL
200303LH	176	False	real	BR	136	4	15	   -4.00	0	    4.00	1	1	  599.55	-15	7	NULL
200303LH	177	False	real	FR	137	4	-15	   -4.00	1	   -8.00	0	0	  647.47	-3	5	NULL
200303LH	178	False	real	AL	138	4	-15	    4.00	1	   -4.00	1	1	  774.50	-15	7	NULL
200303LH	179	False	real	KL	139	4	-15	    4.00	1	   -4.00	1	1	2903797.00	15	0	NULL
200303LH	180	False	real	OR	140	4	-15	   14.00	1	   -2.00	0	2	2908657.00	15	5	NULL
200303LH	181	False	real	NL	141	4	15	    4.00	1	   -4.00	1	1	2913096.00	-3	0	NULL
200303LH	182	False	real	IL	142	4	-15	    4.00	1	   -4.00	1	1	2917952.00	-15	0	NULL
200303LH	183	False	real	MR	143	4	-15	   -4.00	0	    4.00	1	1	2924071.00	-3	0	NULL
200303LH	185	False	real	GR	144	4	15	   -4.00	0	    4.00	1	1	  379.14	-3	7	NULL
200303LH	186	False	real	OR	145	5	-15	   12.00	1	   -2.00	0	2	2941553.00	15	5	NULL
200303LH	187	False	real	NR	146	5	15	    0.00	0	    4.00	0	1	2947464.00	-3	0	NULL
200303LH	188	False	real	KR	147	5	-15	  -12.00	0	    4.00	1	1	2952456.00	15	0	NULL
200303LH	192	False	real	PR	148	5	15	    0.00	0	    4.00	0	1	2970831.00	15	5	NULL
200303LH	193	False	real	FR	149	5	-15	  -12.00	0	    4.00	1	1	  589.92	-3	5	NULL
200303LH	194	False	real	CL	150	5	-15	    0.00	1	   -4.00	0	1	2980808.00	15	7	NULL
200303LH	195	False	real	QR	151	5	-15	    0.00	0	    4.00	0	1	 1191.05	-15	5	NULL
200303LH	197	False	real	RR	152	5	15	    0.00	1	   -2.00	1	2	  414.72	-15	5	NULL
200303LH	198	False	real	JL	153	5	15	    0.00	1	   -4.00	0	1	3002496.00	-15	0	NULL
200303LH	199	False	real	KL	154	5	-15	    0.00	1	   -4.00	0	1	3008138.00	15	0	NULL
200303LH	201	False	real	JR	155	5	15	    0.00	1	   -2.00	1	2	3018268.00	-15	0	NULL
200303LH	202	False	real	BL	156	5	15	    0.00	1	   -4.00	0	1	  564.82	-15	7	NULL
200303LH	203	False	real	DR	157	5	15	  -12.00	0	    4.00	1	1	3028227.00	15	7	NULL
200303LH	204	False	real	GL	158	5	15	    0.00	0	    2.00	1	2	  387.02	-3	7	NULL
200303LH	205	False	real	LR	159	5	15	    0.00	1	   -2.00	1	2	3039540.00	15	0	NULL
200303LH	206	False	real	DL	160	5	15	   12.00	1	   -4.00	1	1	3045005.00	15	7	NULL
